Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
Just Like Heaven,2005,6.7,"117,766","Comedy, Drama, Fantasy","$48,318,130",tt0425123
Doom,2005,5.2,"119,373","Action, Horror, Sci-Fi","$28,212,337",tt0419706
xXx: State of the Union,2005,4.5,"73,900","Action, Adventure, Crime","$26,873,932",tt0329774
Cheaper by the Dozen 2,2005,5.5,"63,258","Adventure, Comedy, Family","$82,571,173",tt0452598
Æon Flux,2005,5.4,"133,218","Action, Adventure, Sci-Fi","$25,874,337",tt0402022
Zathura: A Space Adventure,2005,6.3,"116,113","Action, Adventure, Comedy","$29,258,869",tt0406375
Rumor Has It...,2005,5.5,"61,907","Comedy, Drama, Romance","$43,000,262",tt0398375
Munich,2005,7.5,"239,808","Action, Drama, History","$47,403,685",tt0408306
Hitch,2005,6.6,"336,915","Comedy, Romance","$179,495,555",tt0386588
Jarhead,2005,7.0,"208,065","Biography, Drama, War","$62,658,220",tt0418763
The Legend of Zorro,2005,6.0,"108,000","Action, Adventure, Romance","$46,464,023",tt0386140
Robots,2005,6.4,"163,305","Animation, Adventure, Comedy","$128,200,012",tt0358082
Madagascar,2005,6.9,"441,827","Animation, Adventure, Comedy","$193,595,521",tt0351283
A Sound of Thunder,2005,4.2,"20,549","Action, Adventure, Horror","$1,900,451",tt0318081
The Great Raid,2005,6.6,"24,035","Action, Drama, War","$10,167,373",tt0326905
The Interpreter,2005,6.4,"111,280","Crime, Mystery, Thriller","$72,708,161",tt0373926
The Longest Yard,2005,6.4,"196,081","Comedy, Crime, Sport","$158,119,460",tt0398165
Bewitched,2005,4.8,"75,700","Comedy, Fantasy, Romance","$63,313,159",tt0374536
Memoirs of a Geisha,2005,7.3,"161,592","Drama, Romance","$57,490,508",tt0397535
The Brothers Grimm,2005,5.9,"126,725","Action, Adventure, Comedy","$37,916,267",tt0355295
Cinderella Man,2005,8.0,"199,290","Biography, Drama, Romance","$61,649,911",tt0352248
Fun with Dick and Jane,2005,6.2,"155,339","Comedy, Crime","$110,332,737",tt0369441
Constantine,2005,7.0,"376,534","Action, Fantasy, Horror","$75,976,178",tt0360486
Fantastic Four,2005,5.7,"345,339","Action, Adventure, Fantasy","$154,696,080",tt0120667
Mr. & Mrs. Smith,2005,6.5,"547,417","Action, Comedy, Crime","$186,336,279",tt0356910
Star Wars: Episode III - Revenge of the Sith,2005,7.6,"851,789","Action, Adventure, Fantasy","$380,270,577",tt0121766
The Island,2005,6.8,"329,074","Action, Sci-Fi, Thriller","$35,818,913",tt0399201
Sahara,2005,6.1,"104,281","Action, Adventure, Comedy","$68,671,925",tt0318649
Kingdom of Heaven,2005,7.3,"318,873","Action, Adventure, Drama","$47,398,413",tt0320661
War of the Worlds,2005,6.5,"478,376","Action, Adventure, Sci-Fi","$234,280,354",tt0407304
Stealth,2005,5.1,"56,429","Action, Adventure, Sci-Fi","$32,116,746",tt0382992
Chicken Little,2005,5.7,"101,396","Animation, Adventure, Comedy","$135,386,665",tt0371606
Batman Begins,2005,8.2,"1,589,713","Action, Crime, Drama","$206,863,479",tt0372784
Charlie and the Chocolate Factory,2005,6.7,"533,360","Adventure, Comedy, Family","$206,459,076",tt0367594
Harry Potter and the Goblet of Fire,2005,7.7,"687,968","Adventure, Family, Fantasy","$290,469,928",tt0330373
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,"430,142","Adventure, Family, Fantasy","$291,710,957",tt0363771
King Kong,2005,7.2,"449,822","Action, Adventure, Romance","$218,080,025",tt0360717
The Angrez,2005,7.5,527,Comedy,N/A,tt2612156
The Foot Fist Way,2006,6.2,"13,519",Comedy,"$234,286",tt0492619
Facing the Giants,2006,6.5,"18,167","Drama, Sport","$10,178,331",tt0805526
Conversations with Other Women,2005,6.9,"13,134","Comedy, Drama, Romance","$379,418",tt0435623
Varalaaru,2006,7.3,"3,595","Action, Drama",N/A,tt0442781
Another Gay Movie,2006,5.0,"9,508","Comedy, Romance","$654,132",tt0443431
Half Nelson,2006,7.1,"92,337",Drama,"$2,697,938",tt0468489
'n Beetje verliefd,2006,5.4,489,"Comedy, Romance",N/A,tt0800164
Dikari,2006,6.5,693,Comedy,N/A,tt0933361
The Treatment,2006,5.8,"1,136","Comedy, Drama, Romance","$83,354",tt0462579
Kidulthood,2006,6.7,"19,833","Crime, Drama, Romance",N/A,tt0435680
Who Killed the Electric Car?,2006,7.6,"12,775",Documentary,"$1,678,874",tt0489037
An Inconvenient Truth,2006,7.4,"85,329",Documentary,"$24,146,161",tt0497116
Journey from the Fall,2006,7.2,939,Drama,"$641,039",tt0433398
Bommarillu,2006,8.2,"9,879","Comedy, Drama, Romance","$650,000",tt0843326
Lights in the Dusk,2006,6.8,"7,966","Crime, Drama","$14,056",tt0458242
Bamako (The Court),2006,6.7,"1,476",Drama,"$112,351",tt0814666
Death of a President,2006,6.3,"7,041","Crime, Drama, Mystery","$519,086",tt0853096
The TV Set,2006,6.5,"6,049","Comedy, Drama","$265,198",tt0473709
Ten Canoes,2006,6.9,"5,126","Adventure, Comedy, Drama","$283,654",tt0466399
Sherrybaby,2006,6.6,"12,091",Drama,"$199,176",tt0423169
Shortbus,2006,6.4,"35,574","Comedy, Drama, Romance","$2,016,181",tt0367027
The Lives of Others,2006,8.4,"412,480","Drama, Mystery, Thriller","$11,286,112",tt0405094
Rang De Basanti,2006,8.1,"122,723","Comedy, Crime, Drama","$2,197,694",tt0405508
This Is England,2006,7.7,"129,178","Crime, Drama","$329,379",tt0480025
Local Color,2006,6.8,"1,773",Drama,"$32,788",tt0472126
Winter Passing,2005,6.2,"8,927","Comedy, Drama","$107,492",tt0380817
Unknown,2006,6.4,"31,543","Crime, Drama, Mystery","$26,403",tt0450340
Let's Go to Prison,2006,5.9,"26,571","Comedy, Crime","$4,630,045",tt0454987
Bug,2006,6.1,"38,084","Drama, Horror, Thriller","$7,025,810",tt0470705
The History Boys,2006,6.8,"21,545","Comedy, Drama, Romance","$2,706,659",tt0464049
Scoop,2006,6.6,"87,832","Comedy, Crime, Fantasy","$10,525,717",tt0457513
Day Watch,2006,6.4,"35,503","Action, Fantasy, Horror","$450,897",tt0409904
Dobrinya and the Dragon,2006,7.0,"2,725","Animation, Adventure, Comedy",N/A,tt0465967
Hood of Horror,2006,4.1,"3,153","Comedy, Horror","$25,900",tt0475298
Trailer Park Boys: The Movie,2006,7.1,"13,622","Comedy, Crime","$3,860,678",tt0425601
Mechenosets,2006,4.8,923,"Action, Romance, Sci-Fi",N/A,tt0477337
Clerks II,2006,7.3,"141,138",Comedy,"$24,148,068",tt0424345
Fanaa,2006,7.1,"35,217","Action, Drama, Romance","$2,105,352",tt0439662
